timestamp,test-class,test-method,time,description,result
2021-06-08 21:57:31.42,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,6016,"[1] recordIndex=0, title=null, startTime=2022/06/29 11:00, endTime=2022/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-06-08 21:57:37.543,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,5885,"[2] recordIndex=0, title=Go to Mercadona, startTime=null, endTime=2022/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-06-08 21:57:43.575,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,5827,"[3] recordIndex=0, title=Go to Mercadona, startTime=2022/06/29 11:00, endTime=null, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-06-08 21:57:49.677,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,5901,"[4] recordIndex=0, title=Go to Mercadona, startTime=2022/06/29 11:00, endTime=2022/06/29 13:00, workload=null, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-06-08 21:57:55.786,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,5905,"[5] recordIndex=0, title=Go to Mercadona, startTime=2022/06/29 11:00, endTime=2022/06/29 13:00, workload=0.50, description=null, info=https://example.org/",OK
2021-06-08 21:58:01.926,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,5937,"[6] recordIndex=0, title=4kEGLCZ11in6lMnACksASkgz0qgFxAg7WNcQfPd8LY2o7XOEYseFIl3BBhmlQbMR8fJNjGiuK7AS7ynMA3FcCPB8UM, startTime=2022/06/29 11:00, endTime=2022/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-06-08 21:58:08.015,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,5886,"[7] recordIndex=0, title=Go to Mercadona, startTime=2020/06/29 11:00, endTime=2022/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-06-08 21:58:14.291,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,6072,"[8] recordIndex=0, title=Go to Mercadona, startTime=2020/06/29 11:00, endTime=2020/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-06-08 21:58:20.496,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,6002,"[9] recordIndex=0, title=Go to Mercadona, startTime=2022/06/29 11:00, endTime=2022/06/28 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-06-08 21:58:26.627,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,5920,"[10] recordIndex=0, title=Go to Mercadona, startTime=2022/06/29 11:00, endTime=2022/06/29 13:00, workload=50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-06-08 21:58:32.95,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,6101,"[11] recordIndex=0, title=Go to Mercadona, startTime=2022/06/29 11:00, endTime=2022/06/29 13:00, workload=0.50, description=8KjqE4LanMbAMbJ9SD6ZmQlLqfXTrUZRtyJ0xHVVoMQt9sdi1v5gXhAPZvkM0csMUhTM1Pw910gY3eiEB6k0h7Azt5zxdW3y4NEJo0hZ1GaxnvXbD5b4qGDcj1njjW07Jc54Hq0GxrBsxyMRhvqJAU1RGqBhMGSf1fKUmi19EolIBlEJIzoXV4Tbku1apNVbtd6KxfFW3E8lhWbe3pmKiocMJ73c4EKpnEsMo2lVSAinVHKHT5OsRM27VBZ9VIqQk61m6O53KpO5tMrTjgQcRQU89ssLOxCkyURH8CHOUEX7ioJip4wibusfznx3lHZd2MI5DfKMYwGJmH2W2WAGUY3hMvyZMDBNRTTPp5xdGAtuq2IrAqFaVukBXCQu12zW1GOdznsvTeIe3qvIbADER2peIvaZ5IFBCy8imFuy6Ww3XiITedhwXjyXWzV3pTIq2cHD4fZsm4HP3p6yR43k7Ucp9q0DzWF7GEHCO3eMwLWEmROMdRxE5v6udJ44kld…, info=https://example.org/",OK
2021-06-08 21:58:39.071,acme.testing.manager.task.ManagerTaskCreateTest,createNegativeTest,5918,"[12] recordIndex=0, title=Go to Mercadona, startTime=2022/06/29 11:00, endTime=2022/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=aaaaaaaaa",OK
